,Abstract
27,"Temporal trends of persistent organic pollutants (POPs) in arctic foxes (Vulpes lagopus) from Svalbard, Norway, were investigated in relation to feeding habits and seasonal food availability. Arctic foxes from Svalbard forage in both marine and terrestrial ecosystems and the availability of their food items are impacted by climatic variability. Concentrations of polychlorinated biphenyls (PCBs), organochlorinated pesticides (OCPs) and brominated flame retardants (polybrominated diphenyl ethers [PBDEs] and hexabromocyclododecane [HBCDD]) were analyzed in the liver of 141 arctic foxes collected between 1997 and 2013. Stable carbon isotope values (delta C-13) were used as a proxy for feeding on marine versus terrestrial prey. The annual number of recovered reindeer carcasses and sea ice cover were used as proxies for climate influenced food availability (reindeers, seals). Linear models revealed that concentrations of PCBs, chlordanes, p,p'-DDE, mirex and PBDEs decreased 4-11% per year, while no trends were observed for hexachlorobenzene (HCB) or beta-hexachlorocyclohexane (beta-HCH). Positive relationships between POP concentrations and delta C-13 indicate that concentrations of all compounds increase with increasing marine dietary input. Increasing reindeer mortality was related to lower HCB concentrations in the foxes based on the linear models. This suggests that concentrations of HCB in arctic foxes may be influenced by high mortality levels of Svalbard reindeer. Further, beta-HCH concentrations showed a positive association with sea ice cover. These results in addition to the strong effect of delta C-13 on all POP concentrations suggest that climate-related changes in arctic fox diet are likely to influence contaminant concentrations in arctic foxes from Svalbard. (C) 2014 Elsevier B.V. All rights reserved."
28,"Ecological factors determining the growth of arctic shrubs remain poorly understood, thereby obscuring the current predictions about climate change effects. I conducted a study on the Yamal Peninsula, West Siberia, to find out which factors determine the growth and height of upright willows (Sali.-V glauca and S. lanata). I sampled willow thickets at different slope positions at 13 sites along a 300-km-long north-south transect. The measurements included the height of willow shrubs and the length and diameter of shoots. The length and diameter of willow shoots increased southwards and with increasing distance from the sea. At the top of the slope and in areas with shallow thaw, the height and growth of willow were low compared to other slope positions and to areas with deep thaw. An increasing level of reindeer (Rangifer tarandus) grazing intensity was associated with decreased height and growth of willow and also associated with reduced foraging activity of willow grouse (Lagopus lagopus). The results show that even though increasing summer warmth is likely to enhance willow growth, there are other factors such as distance from the sea that also affect the growth and height of willow. The results suggest that reindeer grazing may locally counteract the effects of climate change."
29,"Climate change has been characterized as the most serious threat to Arctic biodiversity. In addition to gradual changes such as climate warming, extreme weather events, such as melting temperatures in winter and rain on snow, can have profound consequences for ecosystems. Rain-on-snow events lead to the formation of ice layers in the snow pack, which can restrict access to forage plants and cause crashes of herbivore populations. These direct impacts can have cascading effects on other ecosystem components, often mediated by trophic interactions. Here we document how heavy rain in early winter, leading to the formation of a thick layer of ice, was associated with dramatic mortality of domestic reindeer on Yamal Peninsula, Russia. In the subsequent summer, breeding of two boreal generalist predators, red fox and Hooded Crow, was recorded for the first time in a monitoring area in the Low Arctic tundra of this region. We suggest that the resource pulse created by the abnormally high reindeer mortality and abundance of carrion may have facilitated these breeding events north of the known breeding range of the two species. Our observations provide an example of how specific emergent weather events may indirectly pave the way for more abrupt, although possibly temporary, species range changes."
30,"Understanding drivers of space use and habitat selection is essential for management and con-servation, especially under rapid environmental change. Here, we develop summer and winter habitat suitability models for the endemic wild Svalbard reindeer (Rangifer tarandus platyrhyn-chus). The High Arctic Svalbard tundra is currently subject to the fastest temperature increases on Earth, and reindeer spatial responses to associated environmental change are strongly restricted due to landscape barriers (including 60% glacial coverage) and lack of sea ice as movement corridors. We used an extensive dataset of GPS-collared adult females (2009-2018; N = 268 individual-years) to model seasonal habitat selection as a function of remotely sensed environ-mental variables , and subsequently built habitat suitability models using an ensemble modelling framework. As expected, we found that reindeer preferred productive habitats, described by the normalized difference vegetation index (NDVI) and plant biomass (derived from a vegetation map), in both seasons. This was further supported by selection for bird cliff areas, rich in forage, improving habitat suitability especially in winter. Contrary to our expectations, the terrain var-iables had similar, impact on habitat suitability in the two seasons, except for use of higher el-evations in winter, likely related to improved forage access due to less snow. Suitable habitat patches covered only a small proportion of the landscape and were highly clustered in both seasons. About 13.0% of the total land area was suitable in both seasons, while summer-only and winter-only areas contributed a marginal addition of around 4.7% and 1.5%, respectively. This suggests, that unlike many continental and migratory Rangifer populations, even small geographic areas may encompass suffiscient suitable habitat. These first archipelago-wide habitat suitability models provide seasonal baseline maps relevant for the management and conservation of Sval-bard reindeer, particularly under rapid environmental alterations from climate change."
31,"Arctic ecosystems are changing dramatically with warmer and wetter conditions resulting in complex interactions between herbivores and their forage. We investigated how Svalbard reindeer (Rangifer tarandus platyrhynchus) modify their late winter diets in response to long-term trends and interannual variation in forage availability and accessibility. By reconstructing their diets and foraging niches over a 17-year period (1995-2012) using serum delta C-13 and delta N-15 values, we found strong support for a temporal increase in the proportions of graminoids in the diets with a concurrent decline in the contributions of mosses. This dietary shift corresponds with graminoid abundance increases in the region and was associated with increases in population density, warmer summer temperatures and more frequent rain-on-snow (ROS) in winter. In addition, the variance in isotopic niche positions, breadths, and overlaps also supported a temporal shift in the foraging niche and a dietary response to extreme ROS events. Our long-term study highlights the mechanisms by which winter and summer climate changes cascade through vegetation shifts and herbivore population dynamics to alter the foraging niche of Svalbard reindeer. Although it has been anticipated that climate changes in the Svalbard region of the Arctic would be detrimental to this unique ungulate, our study suggests that environmental change is in a phase where conditions are improving for this subspecies at the northernmost edge of the Rangifer distribution."
32,"Recolonisation of trampled lichen pastures in the High Arctic is dependent on the regrowth from small fragments of lichen thalli. Intact lichens have been shown to grow most rapidly during periods of sustained moisture caused by rainfall or cloudy days. Climate change models for Arctic areas predict wetter summers, milder winters and greater stochastic variability. Therefore we hypothesised that the growth of both damaged and intact Svalbard reindeer forage lichens would be increased under the future climatic scenarios. The effects of rainfall frequency, increased precipitation, and simulated cloud cover on relative growth rate (RGR) of Cetraria delisei, C. islandica and C, nivalis, from NW Svalbard were examined under controlled conditions. Low light did not depress RGR, suggesting that shading provided by increased cloud cover would not affect the lichen growth. The ability to gain mass and the RGR was lower in cut thalli than intact thalli under most watering regimes. Frequency of watering was the most important factor influencing growth, but this also interacted synergistically with quantity. Damaged thalli watered frequently grew significantly more than intact thalli watered less frequently. These results suggest that an increase in summer precipitation as predicted by climate modelling would increase the growth rate of fragmented thalli and may help to ameliorate the damage done to the Lichen thalli by reindeer trampling and grazing."
33,"When reproduction competes with the amount of resources available for survival during an unpredictable nonbreeding season, individuals should adopt a risk-sensitive regulation of their reproductive allocation. We tested this hypothesis on female reindeer (Rangifer tarandus), which face a trade-off between reproduction and acquisition of body reserves during spring and summer, with autumn body mass functioning as insurance against stochastic winter climatic severity. The study was conducted in a population consisting of two herds: one that received supplementary winter feeding for four years while the other utilized natural pastures. The females receiving additional forage allocated more to their calves. Experimental translocation of females between the herds was conducted to simulate two contrasting rapid alterations of winter conditions. When females receiving supplementary feeding were moved to natural pastures, they promptly reduced their reproductive allocation the following summer. However, when winter conditions were improved, females were reluctant to increase their reproductive allocation. This asymmetric response to improved vs. reduced winter conditions is consistent with a risk-averse adjustment in reproductive allocation. The ability of individuals to track their environment and the concordant risk-sensitive adjustment of reproductive allocation may render subarctic reindeer more resilient to climate change than previously supposed."
34,"Increased frequency of ground-icing events is likely to influence population dynamics in arctic ungulates, but their behavioural responses remain unexplored. During a record-mild winter with heavy rainfall, we analysed snow and ice characteristics and foraging trade-offs by Svalbard reindeer (Rangifer tarandus platyrhynchus Vrolik, 1829) on a semi-isolated, recently occupied range. Snow depths were well within thresholds for cratering, but >90% of low altitudes was covered by a thick ice coat on the ground (median thickness 9 cm). Different strategies to cope with these conditions appeared. Part of the population sought mountainous habitat with very sparse vegetation. Individuals remaining at lower altitudes either used sparsely vegetated, wind-blown ridges partially covered with ice, or apparently applied olfactory senses to locate vegetation in ice-free microhabitat beneath the snowpack. No feeding craters were covered by ground ice, compared with most nearby controls. Following ground-ice avoidance, vegetation rather than snowpack properties determined fine-scale crater selection. Even under such poor conditions, the presence of medium- to high-quality forage (dwarf willow (Salix polaris Wahlenb.) and fruticose lichens) rather than low-digestible, high-biomass forage (mosses) influenced cratering decisions. Behavioural plasticity combined with a gradually depleted lichen resource can partly buffer the reindeer against predicted climate change, at least in the short-term."
35,"As climate change is unfolding faster in the Arctic than in any other biome, thermal and hydrological changes are predicted to reshape Arctic ecosystems. Water availability is expected to affect the end of the plant growth season, a time period essential for accretion of fat stores in Arctic herbivores, influencing their survival. We experimentally tested how different levels of soil moisture influenced timing and rate of senescence of a grass (Alopecurus ovatus), forb (Bistorta vivipara) and dwarf shrub (Salix polaris), important forage plants for a keystone herbivore, Svalbard reindeer (Rangifer tarandus platyrhynchus). Moderately increased soil moisture slightly delayed the timing of senescence in the forb and shrub. However, waterlogging reduced the growing season of the forb and shrub but considerably extended that of the grass. In saturated (waterlogged) plots, 40 percent of initial grass biomass remained green until the end of the experiment (onset of snow and frost), compared to <10 percent in elevated soil moisture and control plots. These results indicate that soil moisture moderates rates of plant senescence, with some species benefiting from saturated soils. Waterlogging soils may extend the time period over which flood-resilient grasses senesce, to the nutritional benefit of Arctic herbivores such as Svalbard reindeer."
36,"To persist in seasonal environments, animals track, exploit, and store energy when food is plentiful. Seasonal changes in plant phenology that are predictable allow animals to track abundant food resources. However, little is known about how animals use and benefit from ephemeral and unpredictable food pulses during times when food is scarce. Climate change is altering the timing, abundance, and spatial distribution of food releases, emphasizing the ongoing need for understanding how unseasonal weather conditions influence access to food. Using 12 years of GPS-location data and annual measures of body mass in 72 adult female Svalbard reindeer (Rangifer tarandus platyrhynchus), we tested whether individuals with greater use of nutritionally beneficial resource pulses in autumn and early winter are heavier going into parturition in spring. Additionally, we evaluated how stochastic weather conditions influence the use of food resources. Reindeer that foraged most in marshes during autumn and early winter gained a positive carryover effect of up to 5 kg heavier body mass in late winter, with previously demonstrated benefits to both survival and reproduction. Marsh use was rare, brief, and intense, which is the expected response to a pulsed resource. The extent to which marshes were used varied greatly among years and was associated with stochastic mild spells that relaxed constraints of snow depth for a few days. Compared with other habitats used, marshes offered superior quantity and quality of belowground plant biomass that may be accessed more easily under milder autumn and winter conditions. Our findings demonstrate the individual benefits of exploiting stochastic food pulses and showcase how resource tracking during periods of food scarcity may be a behavioral trait that could enhance population resilience in a rapidly warming climate."
37,"Winter is a critical season for reindeer herding, with the amount and quality of snow being among the most important factors determining the condition of reindeer and the annual success of the livelihood. Our first aim was to model the future (2035-2064) snow conditions in northern Finland, especially the quantities related to ground ice and/or ice layers within the snow pack, exceptionally deep snow and late snow melt. Secondly, we studied the strategies by which herders cope with the impacts of difficult weather and snow conditions on herding by interviewing 21 herders. SNOWPACK simulations indicate that snow cover formation will be delayed by an average of 19 days and snow will melt 16 days earlier during the period 2035-2064 when compared to 1980-2009. There will be more frequent occurrence of ground ice that persists through the winter and the ice layers in open environments will be thicker in the future. The snow cover will be 26-40% thinner and snow in open environments will be denser. Variability between winters will grow. In interviews, herders indicated that a longer snowless season and thin snow cover would be advantageous for herding due to increased availability of forage, but more frequent icing conditions would cause problems. The most immediate reaction of reindeer to the decreased availability of forage caused by difficult snow conditions is to disperse. This effect is intensified when the lichen biomass on the pastures is low. To cope with the impacts of adverse climatic conditions, herders increase control over their herds, intensify the use of pasture diversity, take reindeer into enclosures and/or start or intensify supplementary feeding. The research also reveals that predators, competing land uses and the high prices of supplementary feed and fuel were the major threats to the herders' coping capacity. Coping capacity was facilitated by, among other factors, the herders' experience-based traditional knowledge (TK) and skills, a diversity of pasture environments and the use of seasonal pasture rotation. More often than before, herders combine their TK and skills with technical applications, which greatly facilitates herding. We conclude that the coping capacity of herders could be facilitated in the future not only by reorganizing the management systems and herding practices for sustainable use of pastures, but also by diversifying the livelihood, increasing its profitability and mitigating the adverse effects of climate change, predators and competing land uses. (C) 2016 The Authors. Published by Elsevier B.V."
38,"The cumulative impacts of climate change and human activities on species are often studied in isolation, limiting understanding of their combined effects. The present research addresses this limitation by proposing a novel conceptual model to assess the cumulative impacts of various anthropogenic developments and environmental conditions on ungulates. The conceptual model is applied to semi-domesticated reindeer, specifically in the context of winter grazing in northern Fennoscandia, as this species is facing an increasing range and intensity of stressors detrimental to its health and survival. The conceptual framework for the model is described, measuring forage loss due to physical, behavioural and climatic factors. Using data from previous studies, this framework is applied to assess loss of reindeer forage in winter pastures due to construction of roads, mines, hydropower stations and population centres. Results of this case study show that excluding behavioural impacts would lead to an 86 % underestimation of forage loss, while ignoring access limitations caused by snow conditions would result in an 11 % underestimation. Additionally, synergistic effects from multiple infrastructures impact 22 % of the area. Although the model does not yet account for factors like habitat connectivity or inter-annual weather variability, it provides a multi-faceted framework for evaluating cumulative impacts, offering a more holistic approach than existing models. Its adaptability also allows for application to other regions, species, or land-use scenarios. These findings emphasise the necessity of considering cumulative impacts within environmental impact assessments used to inform sustainable land-use and conservation strategies."
39,"The relative importance of winters harshness and early summer foraging conditions are of prime interest when assessing the effect of global warming on Arctic and mountainous ecosystems. We explored how climate and vegetation onset (satellite-derived normalized difference vegetation index data) determined individual performance in three reindeer populations (data on 27 814 calves sampled over 11 years). Snow conditions, spring temperatures and topography were the main determinants of the onset of the vegetation. An earlier onset positively affected the body mass of calves born the following autumn, while there was no significant direct negative impact of the previous winter. This study underlines the major impact of winter and spring climatic conditions, determining the spring and summer: food availability, and the subsequent growth of calves among alpine herbivores."
40,"Snow conditions play an important role for reindeer herding. In particular, the formation of ice crusts after rain-on-snow (ROS) events or general surface thawing with subsequent refreezing impedes foraging. Such events can be monitored using satellite data. A monitoring scheme has been developed for observation at the circumpolar scale based on data from the active microwave sensor SeaWinds on QuikSCAT (Ku-band), which is sensitive to changes on the snow surface. Ground observations on Yamal Peninsula were used for algorithm development. Snow refreezing patterns are presented for northern Eurasia above 60 degrees N from autumn 2001 to spring 2008. Western Siberia is more affected than Central and Eastern Siberia in accordance with climate data, and most events occur in November and April. Ice layers in late winter have an especially negative effect on reindeer as they are already weakened. Yamal Peninsula is located within a transition zone between high and low frequency of events. Refreezing was observed more than once a winter across the entire peninsula during recent years. The southern part experienced refreezing events on average four times each winter. Currently, herders can migrate laterally or north-south, depending on where and when a given event occurs. However, formation of ice crusts in the northern part of the peninsula may become as common as they are now in the southern part. Such a development would further constrain the possibility to migrate on the peninsula."
41,"Rapid, but contrasting, changes in the extent of erect thicket-forming shrubs is presently seen in the Arctic, either resulting from a warmer climate (increasing extent) or intensified herbivory (decreasing extent). We investigated the impact of loss of willow shrubs on a bird community in arctic riparian sediment plains in northern Norway subject to varying intensities of reindeer browsing. In riparian habitats where willow thickets had been lost, bird species richness was more than halved compared to habitats where some patches of thickets were still present. As could be expected species previously suggested to use erect woody vegetation as nesting places and/or foraging habitats were most consistently impacted. However, even some open ground habitat specialists appeared to be negatively impacted, possibly due to loss of spatial spill-over effects of insects from willow thickets. To preserve low-arctic avian biodiversity in a warming climate, management should strive to identify levels of ungulate browsing that strike the balance between shrub-encroached and shrub-denuded arctic tundra. (c) 2012 Elsevier Ltd. All rights reserved."
42,"Recent research has linked climate warming to global declines in caribou and reindeer (both Rangifer tarandus) populations. We hypothesize large-scale climate patterns are a contributing factor explaining why these declines are not universal. To test our hypothesis for such relationships among Alaska caribou herds, we calculated the population growth rate and percent change of four arctic herds using existing population estimates, and explored associations with indices of the Arctic Oscillation (AO) and the Pacific Decadal Oscillation (PDO). The AO, which more strongly affects eastern Alaska, was negatively associated with the population trends of the Porcupine Caribou Herd and Central Arctic Herd, the easternmost of the herds. We hypothesize that either increased snowfall or suboptimal growing conditions for summer forage plants could explain this negative relationship. Intensity of the PDO, which has greatest effects in western Alaska, was negatively associated with the growth rate of the Teshekpuk Caribou Herd in northwestern Alaska, but the Western Arctic Herd in western Alaska displayed the opposite trend. We suggest that the contrasting patterns of association relate to the spatial variability of the effects of the PDO on western and northwestern Alaska. Although predation and winter range quality have often been considered the primary causes of population variation, our results show that large-scale climate patterns may play an important role in caribou population dynamics in arctic Alaska. Our findings reveal that climate warming has not acted uniformly to reduce caribou populations globally. Further research should focus on the relative importance of mechanisms by which climate indices influence caribou population dynamics."
43,"Heat waves are becoming more frequent across the globe and may impose severe thermoregulatory challenges for endotherms. Heat stress can induce both behavioral and physiological responses, which may result in energy deficits with potential fitness consequences. We studied the responses of reindeer (Rangifer tarandus tarandus), a cold-adapted ungulate, to a record-breaking heat wave in northern Finland. Activity, heart rate, subcutaneous body temperature, and body mass data were collected for 14 adult females. The post-heat wave autumn body masses were then analyzed against longitudinal body mass records for the herd from 1990 to 2021. With increasing air temperature during the day, reindeer became less active and had reduced heart rate and increased body temperature, reflecting both behavioral and physiological responses to heat stress. Although they increased activity in the late afternoon, they failed to compensate for lost foraging time on the hottest days (daily mean temperature >= 20 degrees C), and total time active was reduced by 9%. After the heat wave, the mean September body mass of herd females (69.7 +/- 6.6 kg, n=52) was on average 16.4% +/- 4.8% lower than predicted (83.4 +/- 6.0 kg). Among focal females, individuals with the lowest levels of activity during the heat wave had the greatest mass loss during summer. We show how heat waves impose a thermoregulatory challenge on endotherms, resulting in mass loss, potentially as a result of the loss of foraging time. While it is well known that environmental conditions affect large herbivore fitness indirectly through decreased forage quality and limited water supply, direct effects of heat may be increasingly common in a warming climate."
44,"The rotation length is a key component of even-aged forest management systems. Using Fennoscandian forestry as a case, we review the socioecological implications of modifying rotation lengths relative to current practice by evaluating effects on a range of ecosystem services and on biodiversity conservation. The effects of shortening rotations on provisioning services are expected to be mostly negative to neutral (e.g. production of wood, bilberries, reindeer forage), while those of extending rotations would be more varied. Shortening rotations may help limit damage by some of today's major damaging agents (e.g. root rot, cambium-feeding insects), but may also increase other damage types (e.g. regeneration pests) and impede climate mitigation. Supporting (water, soil nutrients) and cultural (aesthetics, cultural heritage) ecosystem services would generally be affected negatively by shortened rotations and positively by extended rotations, as would most biodiversity indicators. Several effect modifiers, such as changes to thinning regimes, could alter these patterns."
45,"Reindeer management (RM) in northern Fennoscandia is an example of social-ecological systems (SESs) providing social, cultural, ecological, and economic values. Changing climate and pasture conditions and societal changes continue to transform the operational environment of RM. These key drivers, and resulting transformations including alternative SES states, have not been studied in detail before. Our comprehensive literature review and interviews with herders reveal that land use, climate change, and governance drive the emergence of SES tipping points. The basis of successful RM depends on the quantity and quality of pastures to secure animal fitness. However, intensive forestry, extreme weather, and predators constrain the availability of forage and suitable calving grounds. Maintaining RM by means of predation compensation mechanisms and regular supplementary winter feeding to adapt to changes brought about by land use and warming climate comprises an alternative system state. However, if negative impacts increase remarkably or rapidly and compensatory mechanisms become insufficient, long-term impacts on system identity, and even local collapses, are expected. Although some environmental and societal changes are perceived as pressures by herders, they can be beneficial for other livelihoods in the region. Therefore, our study raises questions for future studies on social justice, such as who has the right to decide what constitutes a desirable system state, or what collaborative efforts to maintain RM in Fennoscandia would entail. Our work is applicable also in other Arctic/sub-Arctic regions where nature-based livelihoods, such as small-scale forestry and agriculture, hunting, traditional fishing, and gathering are practiced."
46,"The cumulative effects of climate warming on herbivore vital rates and population dynamics are hard to predict, given that the expected effects differ between seasons. In the Arctic, warmer summers enhance plant growth which should lead to heavier and more fertile individuals in the autumn. Conversely, warm spells in winter with rainfall (rain-on-snow) can cause `icing', restricting access to forage, resulting in starvation, lower survival and fecundity. As body condition is a `barometer' of energy demands relative to energy intake, we explored the causes and consequences of variation in body mass of wild female Svalbard reindeer (Rangifer tarandus platyrhynchus) from 1994 to 2015, a period of marked climate warming. Late winter (April) body mass explained 88% of the between-year variation in population growth rate, because it strongly influenced reproductive loss, and hence subsequent fecundity (92%), as well as survival (94%) and recruitment (93%). Autumn (October) body mass affected ovulation rates but did not affect fecundity. April body mass showed no long-term trend (coefficient of variation, CV = 8.8%) and was higher following warm autumn (October) weather, reflecting delays in winter onset, but most strongly, and negatively, related to `rain-on-snow' events. October body mass (CV = 2.5%) increased over the study due to higher plant productivity in the increasingly warm summers. Density-dependent mass change suggested competition for resources in both winter and summer but was less pronounced in recent years, despite an increasing population size. While continued climate warming is expected to increase the carrying capacity of the high Arctic tundra, it is also likely to cause more frequent icing events. Our analyses suggest that these contrasting effects may cause larger seasonal fluctuations in body mass and vital rates. Overall our findings provide an important `missing' mechanistic link in the current understanding of the population biology of a keystone species in a rapidly warming Arctic."
47,"We analysed intercohort variability of live weight and antler length of 5,123 reindeer calves. We further assessed the influence of climate and density on the interannual variation in antler length, and discussed sex-specific resource allocation and response to climate variability. Antler length varied significantly among years and between sexes, with interaction between year and sex. Body weight and antler length were highly positively correlated, showed similar intercohort variability, and had a strong allometrical link, suggesting that antler length could be an equally reliable measure of calf condition as live weight. We found a relative measure of antler length (i.e. antler length corrected for the allometric effect of body mass) to be positively influenced by increasing density and May-June precipitation, and also decreasing May-June temperature. We attributed the effect of early summer weather to its influence on forage availability and quality as well as the level of parasitic insect harassment. Gender difference in both the allometric exponents and the interannual variability suggest that young males and females may have different tactics for relative resource allocation towards growth of antlers as compared to body mass. Because antlers are costly to produce, they may be an honest signal of individual quality for both sexes. However, we found gender-specific allometry, as female calves more than males appear to prioritize their antler growth over body mass, especially when resources are limited. Thus, our results suggest that environmental variation may influence the extent of sexual dimorphism in antler length."
48,"Bioenergetic constraints are the ultimate determinant of the timing of reproduction, and seasonal breeding is consequently a widely observed trait. Consistent with this, attention has focused on plasticity in reproductive phenology conceptualized as a response to concomitant advances in the phenology of the environmental energy supply caused by climate change. Few studies, however, have directly compared timing of reproduction with energetic status in free-living wild animals. Here we demonstrate that neither body mass nor adiposity are strong proximate predictors of date of conception in wild reindeer (Rangifer tarandus). Weak coupling between energetic status and the phenology of reproduction accounts for the increasing discrepancy between the phenology of forage (energy supply) and the phenology of reproduction (energy demand) observed across the last 2-4 decades in two populations of this species. The results emphasise that phenological plasticity is not a passive response to changes in energy supply but derives from the way in which environmental factors interact with the core control mechanisms that govern timing. Central in this respect is integration, within the rheostatic centres of the hypothalamus, of information on nutritional status with the circannual life-history calendar."
49,"Snow is a major determinant of forage availability for reindeer and caribou (Rangifer tarandus; hereafter Rougher) in winter and is, consequently, a medium through which climate variation may influence population dynamics in this species. Periodic icing of winter ranges, where interludes of mild weather result in formation of crusted snow and basal ice that restrict access to forage, is held to be a cause of mass starvation, catastrophic declines in numbers, and even extirpation of local populations. It has been suggested that warming of the Arctic may result in increased frequency of winters with unfavorable snow and ice conditions, with serious consequences for Rangifer. This paper examines data on major declines in populations of Rangifer to determine the mechanism(s) of these events and the role of snow and ice conditions in them. Thirty-one declines, involving numerical decreases between 25% and 99%, were identified in 12 populations. Declines were of two types: the negative phase of irruptive oscillations, mainly associated with populations introduced into new habitat, and numerical fluctuation in persistently unstable established populations. The mechanisms of decline differed widely in both categories, ranging from wholly mortality to almost wholly emigration. In all cases, the observed dynamics are best interpreted as a product of interaction between internal processes (density dependence) and the external abiotic conditions (density independence). The strength and the form of density independence, parameterized in terms of local weather or large-scale climate, varies widely between populations, reflecting the enormous range of climate conditions across the circumpolar distribution of Rangifer. This complicates the search for abiotic components likely to be consistently important determinants of population growth in the species. There are few data demonstrating, the presence of extensive hard snow or basal ice on ranges during winter(s) in which populations declined, and none confirming ice as a ubiquitous and potent agent in the dynamics of Rangifer. Instead, where the simultaneous effects of density-dependent and density-independent factors are examined across the full temporal record of dynamics, climatic conditions associated with increased amounts of snow or winter warming are generally found to enhance the abundance of animals, at least in established populations."
